,text,FOOD,AMBIENCE,PRICE,SERVICE
1989,"En japanese dining makanannya enak enak dan juga dari segi service oke banget . Tapi , untuk dari segi harga emang a lil bit too expensive ! but it 's worth",POSITIVE,UNKNOWN,NEGATIVE,POSITIVE
210,"Tempatnya terlalu sempiiitttt. Meja kecil buat makan ber 5 padahal layaknya cuma buat 3 org dah cukup penuh. Rasa makanannya lumayan enak,dibilang enak banget sih masih dalam taraf standart untuk harga yang ga murah,masih ada yg lebih enak dengan harga yang sama. Kalau mau makan disini ngga disarankan pada weekend krn penuh banget. Pelayanannya lumayan ok. Japchae nya yang ga enak disini,ga disarankan untuk pesen sih selama resep mereka belum diganti. Hambar ga da rasa,kurang cocok untuk lidah orang Indo yang kaya rasa (buat org Korea mungkin pas). Untuk bakar2annya sih lumayan enak jadi masih ok lah buat makan disini.",POSITIVE,NEGATIVE,UNKNOWN,POSITIVE
227,"Tempatnya oke, interiornya asik bikin betahhh. Pastrynya jg enak2 sm minuman yg Orange apa gt lupa enakkk bgt ampe nambah huahaha cm 1 kurangnya, ada mba2 nya yg ngeselin bgt. Pas ditanya ttg minumannya bs jadi pake ice apa ga jwbnnya Ngga, trus muka nya nyolot bgt. Eh pas aku tanya sm 1 lg mba2nya, dia blg bisa. Buat product knowledge nya diperdalam dong, udah mana sok jutek. Jd males kesini lagi gr2 pelayanannya begini.",POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
264,"buat tempatnya very recommend sangat cozy dan nyaman , namun untuk makanan dan minumannya standart untuk rasanya , dan sangat disesali pelayanannya yg tidak ramah membuat tidak ingin untuk datang kemari lagi : )",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
269,"Servicenya payah , mesen makan ada kali 1-2jam ga dateng , sampai akhirnya ri cancel . Its really frustrating , tempatnya doang asik . Sorry to say ya , bener bener disappointed . Semoga berhasil dan bertahan lama ya restorannya .",UNKNOWN,POSITIVE,UNKNOWN,NEGATIVE
277,"Tidak terlalu banyak pilihan makanan di menunya . Saya kesini dengan teman , saya pesan fish and chips dan teman saya pesan iga bakar . Rasa makanannya terlalu asin untuk lidah saya dan makanannya datang terlalu lama . Tempatnya lumayan bagus dan nyaman .",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
305,"Waktu pertama kesini nyoba okonomiyaki dan rasanya enak banget . Kedua kali kesini nyoba takoyaki , enak deh luarnya garing tapi tetep enakan okonomiyaki hehe . All item harga disini 30rb . Tiap dateng kesini selalu dapet tempat yg menghadap tembok soalnya rame terus .",POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN
329,Jarang-jarang mampir ke coffee shop dan kebetulan tempat ini lumayan hits di bogor so ... mampir kesini . Tempatnya enak ... supeeeeer cozy dan juga bersih ! Cocok bgt yang emang mencari tempat tenang sambil ngopi dan cari inspirasi . Pelayanannya ok banget baristanya ramah-ramah . Minumannya ya sama aja sih kaya coffee shop kebanyakan tp rasanya juga ngga kalah enak .,POSITIVE,POSITIVE,UNKNOWN,POSITIVE
34,"Makanannya enak , tempat nya bagus , pelayanannya cepat dan memuaskan . Ada outdoor , indoor , dan meeting room . Bisa buat meeting kantor dan very recommended place to hang out with friends !",POSITIVE,POSITIVE,UNKNOWN,POSITIVE
37,"Tempatnya convinience. suasana lumayan enak. makanannya ok. beef teriyaki don nya recommended bgt, gw siy suka bgt sm salmon cheesenya. ok lah.",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
384,"Iseng kesini krn bosen sama resto Itu2 aja di PP dan kebetulan blm pernah coba . Gak ekspektasi terlalu tinggi sih sbnrnya , tapi ternyata semua makanan yg ak pesen enak2 bgt ! Dan bibimbapnya rasanya authentic , enak banget . Pajeonnya juga enak . Jjigaenya juga enak . Malahan jd kepengen kapan2 balik lagi , krn enak dan harganya juga terjangkau .",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
406,"Tempatnya nyaman karna ga terlalu banyak pengunjungnya jg , jd buat ngobrol santai & private bisa dipilih tempat yang 1 ini kalo lg ke daerah Kemang . Untuk harga memang disini relatif agak mahal , jd jangan lupa tanya menu yg recommended sebelum pesan .",UNKNOWN,POSITIVE,NEGATIVE,UNKNOWN
410,"Waktu kesini pesennya mie , sup kepiting , terus sama ayam goreng mentega . Makanan disini cukup enak tapi service dari pelayan nya kurang ramahhh .",POSITIVE,UNKNOWN,UNKNOWN,NEGATIVE
427,"Tempatnya sempit, gerah dan pelayanannya tidak memuaskan. Pelayannya jutek ngga peka, entah knp br make wifi benyaran ditempat ini lngsng problem. Makanan dimenu tidak sesuai dengan ekspektasi serta realitanya.",NEGATIVE,NEGATIVE,UNKNOWN,NEGATIVE
428,"Pelayanannya sangat buruk. Datang malam minggu tempatnya rame dan sempit. Lgs dpt tempat duduk. Ada 4 pelayan yg nganggur tp pelanggan dtg ga dikasih menu. Ada satu pelayan wanita badannya agak gemuk malah ngaca2 dpn wastafel tamu dandan begitu saya mau cuci tangan dan minta menunya dia lgs ngedumel bilang ""ihhh"" sambil matanya keatas. padahal saya mintanya jg baik dan sopan. Pesen 3 yg cone dan chocolate yg apa parfait gt. yg parfait dtg stlh 10menit pesen. eh malah yg cone ga dtg2 pdhl kan cone doang, sampe minta 5x nanyain es nya mana juga gadtg2 30menit cuma nunggu ice cream cone aja. Pas minta yg ke 4x mbak2nya yg td nyebelin malah kayak kesel sendiri trs judes nanya td siapa yg ngelayanin trs malah nyalahin sambil marah2 pelayan bapak2 yg tua. Makan disini gaada enak2nya. Kalau emg petugas semua ga niat kerja gaush dipekerjakan. Tidak bs melayani, tdk sopan, tdk tanggap. Sangat buruk. Padahal saya sebenarnya bukan org yg peduli harus pelayanan yg sangat bagus. tp kalau ini emg udh kelewatan.",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
447,"Tempatnya enak, konsepnya lucu. Cuman pelayannya sedikit, jadinya lama. Udh nunggu 1 jam makanan dan minuman belom keluar, akhirnya kita keluar.",UNKNOWN,POSITIVE,UNKNOWN,NEGATIVE
45,Pertama kali mencoba cafe berdua dengan teman putri ini karena dekat dengan kost nya . Kopinya mantap dan cemilannya OK. Suasana nyaman dan parkir cukup untuk mobil besar dan jalan di depan tidak terlalu macet . Harga cukup murah . Recommended utk dicoba .,POSITIVE,POSITIVE,POSITIVE,UNKNOWN
454,"Pelayanan buruk , pesan nasi bebek goreng tidak enak dan nasi keras . 30 menit belom dtg nasinya kemudian baru blg nasi baru dimasak . trus minta password wifi katanya rame jadi ga dikasih.. trus pesan chocolate dan es krim saja 40 menit ++ . pdhl rasany ga buruk tpi pelayanannya parah .",NEGATIVE,UNKNOWN,UNKNOWN,NEGATIVE
47,"Makanannya enak-enak dan cukup yummy , satu yang kurang dan janggal , restoran korea ini adalah side dish , disini ga ada side dish kaya resto korea lainnya hehe that 's a minus point for me Tapi walau ga ada side dish , makanannya enak , apalagi toppoki dan chicken bibimbab nya . Kuah sup nya enak banget , setau aku itu kuah samgyetang yang merupakan sup ayam ginseng korea . Aku dapet free ice cream with rengginang yang rasanya cukup enak ternyata pas di combine , cukup upload foto di instagram and tag ke bibigo nya ! 1 lagi , tempatnya enak , apalagi bisa duduk di kapal-kapal yang ada di pasific place gitu . Overall makanannya yummy deh , i would like to recommend this resto and also would come back again to eat their toppoki and other dishes .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
484,"Rasa makanannya enak , meski nggak pk banget . Pelayanannya juga ok , mushollanya ok..hanya parkir mobilnya susahnya minta ampun..mana pas di tikungan .",POSITIVE,NEGATIVE,UNKNOWN,POSITIVE
489,Tempatnya nyaman buat berlama lama ngobrol dan nongkrong . Pelayanan nya ramah bgt . Makanan nya enak utk taco chili apa gitu sama dolce banana nya boleh bgt utk dicoba hihi . Harga nya sih sesuai kok sama kualitas dan rasa . Tempatnya ada di lantai 3 gedung gitu kalo mau kesini harus diliat banget supaya ga kelewat hihi,POSITIVE,POSITIVE,POSITIVE,POSITIVE
533,"Tempatnya bagus , cozy . Tapi kenapa pelayanannya skrg jd kurang baik . Saya udh duduk di bagian sofa luar , terus tibatiba saya disuruh pindah ke meja yg lain dikarena kan sudah di reserved , padahal pas awal saya dtg , blm ada tulisan utk di reserved dan diperbolehkan duduk . Setelah saya pindah ke table lain , baru di taro tulisan reserved nya . Agak kesel sih . Semoga diperbaiki lg service nya .",UNKNOWN,POSITIVE,UNKNOWN,NEGATIVE
535,Makanannya enak bgt . Tempatnya kecil sih jadi suka penuh terus . Makanan yang nasi campurnya paling enak karena pedes bgt . Fitzroy buka di bintaro dong pasti laku . Karena daerah senopati udah ngebosenin karena jauh dari bintaro .,POSITIVE,NEGATIVE,UNKNOWN,UNKNOWN
537,"Sukaaa banget tempatnya ! Pas bgt waktu kesini belom rame jd bisa foto2 . Waktu kesini order beef nachos & salsa sauce , spaghetti salmon , fettucini carbonara , thai ice tea , dan escargot . Masaknya agak lama , tapi rasanya enak kok ... spaghetti salmonnya kurang sih . Escargotnya lumayan . Thai ice tea disini enak . Waiternya ramah bgt . Recommended place !",POSITIVE,POSITIVE,UNKNOWN,POSITIVE
538,"Baru sabtu lalu coba untuk makan disini.. Interior resto nya lucu banget dan cozy banget , ada indoor & outdoor jg . Outdoor nya pun unik . Untuk makanan order prawn aglio olio , nasi goreng kampung , chicken cordon bleu , sweet orange chicken rice . Taste nya enak ga mengecewakan karna sempet kecewa dengan pelayanan nya yang superrrrrrr duperrrrr lama.. Porsi nya lumayan banyak..Harga nya jg standard kok untuk makan didalam hotel .",POSITIVE,POSITIVE,POSITIVE,NEGATIVE
54,"Tempatnya bagus, enak dan nyaman buat duduk2. Suka banget sama macem2 pilihan minumannya semuanya rata-rata enak dan unik rasanyaa untuk makanan cukup ok.",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
541,Pesen makanan lama bgttt udh mau satu jem gak keluar keluarr trus minta di cekin makanannya udh di proses ato belom gak ada kelanjutannn . grrrrrrrr bete bangetttt . trus mau bill embaknya ga minta maaf malah nyolot bgttt dia malah bilang jadi bayar minuman aja ??? Yaiyalaaaahhhhh makanan gak dtg. yg lain aja udh pada dtg. ee mbaknya jawabnya nyolot bgttt arghh kesel bgtttttt .,UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
550,"Pelayanannya lama sekali . Pesanan baru datang setelah 1.5 jam . Makanannya malah datang ke pengunjung yang datang belakangan . Padahal itu yg saya pesan . Setelah lama nunggu akhirnya datang juga , tapi sayang nya menunya salah jadi terpaksa nunggu lagi setengah jam an . Ampun deh.. padahal restoran ini bukan restoran baru .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
554,"Tempatnya cozy , kopinya enak , wifinya kenceng , colokan ada disetiap bangku , toiletnya unik ala-ala koboi gitu.Recommended . Mungkin sofa cantiknya bisa ditambah .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
56,"Kesini 2 kali, sempet harus antri tapi untungnya gak lama. Penasaran banget pas liat postingan orang dan akhirnya nyobain juga. Tapi rasa ayamnya emang enak banget parah, either you order the kkanpun king (if you like sweet spicy) or the nest snow (if you like cream). Harganya mahal memang. I ordered 2 menu for 4 pax. Staffnya juga ramah dan cekatan.",POSITIVE,UNKNOWN,NEGATIVE,POSITIVE
563,"Makanannya hambar , tidak ada rasanya . minumannya jg kurang enak , juice terlalu cair.. Harga tidak sesuai dengan rasa . Pelayanan sangat kurang dan tidak ramah . Very not recommended .",NEGATIVE,UNKNOWN,NEGATIVE,NEGATIVE
570,rasa enak tapi pelayanan parah lama dan pegawai ribut depan customer.. yang di lantai 2 bersabar aja.. pelayanan keatas ud pencet bel tetep ga dateng .,POSITIVE,UNKNOWN,UNKNOWN,NEGATIVE
593,"Cafe ini enak dessertnya, menunya pun oke bervariasi khas korea. Tapi suasananya kok ga nyaman sekali ya, pas jam kerja, bisa2nya manajer briefing dgn suara yg lumayan besar dan itu terjadi di ruangan tempat duduk customer (lihat foto) , sangat2 menganggu sekali !",POSITIVE,NEGATIVE,UNKNOWN,UNKNOWN
623,"Agak kecewa pas makan disini , pelayanan ya lama bangeett . dan harus nunggu lebih dari 45mnit makanannya baru keluar..untuk rasa biasa aja .",NEGATIVE,UNKNOWN,UNKNOWN,NEGATIVE
645,"Pelayanan yang kurang ramah, kalo pake kupon/ voucher, biasanya di layani blkgan dan kalo kapasitas orangnya banyak, bisa"" di suruh pulang :(",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
688,Point yang paling menonjol adalah tempat yang nyaman dan bersih . Parkir luas . Enak buat tempat kongkow2 . Rasa makanan standar aja imo . Point negatif adalah pelayanannya yang super lama aka lelet !,POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
691,"Tempatnya asik si tapi rasanya kurang enak menurut gue , soal harga juga mahal . Pelayanan nya juga ramah , Nah yang paling penting wifi kenceng sob .",NEGATIVE,POSITIVE,NEGATIVE,POSITIVE
714,"Tempatnya tidak enak , harganya ga sesuai sama rasanya , pelayanannya pun ga bagus2 amad . Overall sih dissapointed . Tidak sebagus yang difoto untuk suasananya hijaunya , hanya tanaman biasa . Habis dari situ langsung ke tempat lain .",UNKNOWN,NEGATIVE,NEGATIVE,NEGATIVE
718,"Tempat yg cozy , namun manajemen order yang buruk . Nota sering tertukar , menu pesanan meja lain masuk ke bill kita . Pesan minuman sudah dari awal , justru makanan dulu yang datang . Dan minuman di tukar aqua dingin , karena alasan es batu habis dan close order . Padahal kita pesan sebelum makanan . Sangat buruk untuk tempat sekelas ini .",UNKNOWN,POSITIVE,UNKNOWN,NEGATIVE
722,"Sangat ga rekomendasi makan di pisa kafe menteng ! Kemarin sama temen-temen kesini pelayanan buruk , harga terlalu mahal buat makanan yang ga enak ! Pesen fish and chips rasa nya kayak nuget . Pesen spageti rasanya kayak mie . Pesen sandwich apalah itu rasanya lumayan tapi bentuk kayak terong . Pesen salmon yang katanya direkomendasikan gilaak banyak banget tulangnya ! ! Pasti ga dibersihin dulu dari pasar langsung di panggang ! ! ! Aaah pokoknya nyesel lah makan di pisa kafe menteng !",NEGATIVE,UNKNOWN,NEGATIVE,NEGATIVE
727,Pelayanan lama makanan gak enak es telernya taste nya buruk.. cake and dessertnya kosong cmn ada 1 pilihan . Tempat oke . Sayang tempat duduk yg didepan hanya buat untung waiting list nunggu .,NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
733,saya ingin mencari makan di pik avenue mall. melihat ada resto akatama yang designnya menarik dan saya memesan tempura udon dan agedashi tofu sebenarnya rasanya enak tetapi masih agak tawar dan servicenya juga bagus.,POSITIVE,POSITIVE,UNKNOWN,POSITIVE
734,"saya kecewa sekali sama sushi tei di tempat ini . menurut saya ini sushi tei terparah yang pernah saya makan . saya dan keluarga pesan beberapa sushi dan ikan sanma . ukuran sushinya kecil , rasa sanmanya juga ga enak . dan total tagihan kita sampai 500rb , padahal makanannya super ga enak . pelayanannya juga payah . sangat nyesel makan di sini , ga akan lagi makan di sini .",NEGATIVE,UNKNOWN,NEGATIVE,NEGATIVE
748,"Buat pecinta kopi pasti suka kesini nih karena disini ada banyaaak bgt jenis kopi smpe aku bingung sendiri . Karena aku suka kopi tp ga terlalu ngerti , aku selalu minta rekomen dr mas2nya yg ga terlalu asem . Untuk snacknya juga enak2 ! Tempatnya seru ala2 kayu gt tp emg sempit sih kecil gitu dan kalo lg rame suka full of smoke but it 's ok .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
75,"Makanannya enak , porsinya kurang banyak . Menu pasta ataupun nasi rasanya pas . Tempatnya nyaman . Pelayanannya juga cukup baik , fasilitas cafenya oke .",POSITIVE,POSITIVE,NEGATIVE,POSITIVE
750,Waktu disini nyobain topokki sama galbi bangsang . Topokkinya enak bisa buat sharing . Trs daging galbinya enak bgt sih tp tipis dan cuman 3 slice : ( padahal pricenya lumayan mahal kirain banyak gt . Servicenya cepet dan memuaskan,POSITIVE,UNKNOWN,NEGATIVE,POSITIVE
753,"Just so so lah yaa, tempatnya ga begitu nyaman. Ga ada AC dan kipas anginnya juga ga banyak, jadi kerasa makan di terik matahari bro, #ups. Kalo mie nya bagi yg belum pernah nyoba wajib nyoba dsini, kuahnya yg kentel enak bgt. Lumayan lah bagi yg belum pernah nyoba. Harganya lumayan mahal sih bro menurut gue untuk ukuran mie dengan tempat yg kurang cozy.",POSITIVE,NEGATIVE,NEGATIVE,UNKNOWN
786,"Tempatnya cukup bagus , ada tempat duduk bagi yang merokok . Cocok untuk makan siang kantoran . Servicenya cukup lama apalagi pas jam siang . Saya order fish cake , ayam pandan dan pad thai . Menurut saya rasanya cukup ok dan harga cukup ok .",POSITIVE,POSITIVE,POSITIVE,NEGATIVE
799,"Udah kesini 2x karena ngidam. Mesti nyobain yang Garlic Fried Chicken, enaaak! Porsinya banyak banget, makan ber3 aja ga habis dan mesti bawa pulang Worth it karena porsinya yg besar. Sempet pesen juga beer yg diatasnya ada whipped cream. Enak juga tapi ga sesuai ekspektasi aja. Ada 2 lantai, jadi walaupun rame, tetep kebagian tempat. Karena memang Korean resto, jadi BG-nya lagu korea semua hahaha #gapenting.",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
817,"Tempatnya cozy, tapi kurang colokan doang sih di tempat lesehannya. Dan lama pelayanannya. Rasa makanannya ga terlalu enak sih karna gue coba ramen ayam, terus icip2 salad kok kayak karedok.",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
825,Penasaran sama prince house pas kesini kecewa parah . Lama banget dan servis nya ga memuaskan . Makanan nya standar bgtt . Wafle doang yg mendingan sm pizza nya . Panini nya alot banget .,NEGATIVE,UNKNOWN,UNKNOWN,NEGATIVE
862,"Hari sabtu kemarin saya dinner dgn my gf disini , pelayanannya ok dan cepat . Proses reservasinyapun mudah dan yg terpenting makanannya enak serta suasannya ok bgt buat dijadiin tempat dinner , mau kasih masukkan aja kalau bisa winenya datang sesudah makanan disajikan jgn sebelumnya : )",POSITIVE,POSITIVE,UNKNOWN,POSITIVE
864,"Ini pertama kalinya gue kesini dan tempatnya kecil di lantai 2 . Tapi jujur ini makanan vegetarian terenak yg pernah gue coba dengan harga yang ga mahal . Gue pesen Quarto Burger , Greenonigiri Platter , dan Raw strawberry cheese cake buat di share bareng temen . Yang paling gue suka greenonigiri nya enak banget dan next time pastinya bakal balik lagi .",POSITIVE,NEGATIVE,POSITIVE,UNKNOWN
882,"Tempatnya sebenernya bagus dan unik. Tapi pelayanan menurut gue kurang. Waiternya ada yang kurang sopan, nadanya kurang sopan dan gue ngedenger kalau dia menyuruh temannya (sesama waiter) buat memberitahu pelanggan lain untuk pergi karna sudah mau close. Pdhl msh jam 9.11, dan close jam 10malem. Tolong untuk kesopanannya mas. Gue jd gabegitu respect dengan cafe ini.",UNKNOWN,POSITIVE,UNKNOWN,NEGATIVE
895,Bad service dan ngga enak makanannya sangat tawar. Makanan yg sy pesan aglio olio chicken. Ngga rekomen sm tempat ini. Pelayananya buruk dan jutek (padahal keliahatannga ownernya yg melayani) yg bagian hitung2 uang dikasir. Omg sangat kecewa pdhal lg laper bgt.,NEGATIVE,UNKNOWN,UNKNOWN,NEGATIVE
898,"Penasaran sama cafe yang satu ini . Sebelumnya gw baca reviewnya dulu di sini . Kebanyakan kurang puas sama makanannya . Ya udah gw pesen minumannya . Dari segi interior ya mayanlah ya comic banget , tempatnya luas , liat cover menunya juga comic tapi ko menu2nya biasa aja ya , kurang greget gitu . Gw pesen minuman aja , Ice Greentea Latte . Rasanya terlalu manis dan gelasnya kurang bersih . Service pelayannya kurang cepat buat yg area luar . Pelayannya juga kurang ramah , jutek2 mukanya . Need more improvement !",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
910,"Tempatnya cozy banget , sore sore kesini enak deh. Makananannya enak tp harganya mahal hehe . Maybe jual view yaaah. banyak ikan di emapangnya. Cocok buat bawa keluarga kesini . Pelayananya lama :(",POSITIVE,POSITIVE,NEGATIVE,NEGATIVE
912,"The first kesini , kurang enak ternyata dessert nya tapi tempat nya nyaman kok pelayanan nya ya lumayan ramah lah hehe . Wifi nya jg kenceng hehe .",NEGATIVE,POSITIVE,UNKNOWN,POSITIVE
93,"Service nya buruk ... Kami sekeluarga baru selesai makan sekitar 5 menit , waiter datang untung ambil piring2 di meja . Sama aja ngusir customer . Padahal kondisi resto sedang tidak ramai . Kalau sdg ramai kami maklum , mgkn piring dkk habis .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
946,"Tempatnya keren, suasananya menyenangkan dan snacknya enak! Sayang saya nggak sempat mencoba main coursenya karena pas ke sana masih kenyang. Coffee creme brulee-nya bikin agak mixed feeling. Lapisan creme brulee di atasnya enak, sweet & crispy like it should be. Tapi pas sampai menghirup kopinya, agak keenceran. Mereka juga menyediakan aneka varian teh. Dan saya mencicip hot Morroccan mint green tea yang segar.",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
979,"Super not recommended tmptnya. Cm kekinian aja. Rasa kurang enak. Harga overprice apalg sushi sen roll nya. Dan 1 yg bikin gak puas d sini service nya gak oke banget. Baru abis bayar, waiter nya uda nanya ""mbak masi berapa lg yah d sini, soalnya tamunya uda marah2?"" So what. Emang saya gak bayar apa d sini? Org jg tau uda mulai waiting cm gak usa nanya seperti itu menunjukkan pelayanan gak bagus d sini. Baru 1 stgah jem d sini msa d usir seperti itu, sory to say pelayanan plg buruk d resto ini.",NEGATIVE,UNKNOWN,NEGATIVE,NEGATIVE
990,Tempatnya keren tapi service nya sangat buruk . Saya dateng kemaren sore hujan tapi dibiarin berdiri . Nggak SOPAN saya diladenin sama yang pakai kacamata . Sombong sekali kalo bicara . Mungkin managementnya kurang bisa mengatur dengan baik . Saya kecewa sekali dan bikin saya kapok datang lagi .,UNKNOWN,POSITIVE,UNKNOWN,NEGATIVE
999,"Pelayanannya jelek banget, parah. Sorry to say. Temen saya pesen soto ayam, saya pesen ayam bumbu rujak. Setelah 20 menit nunggu, Mba-nya nyamperin lagi ke meja dan bilang kalo soto ayam-nya habis. Jadi daritadi 20 menit pesenan kita belum dibikin gitu? Akhirnya ganti jd soto daging. Agak kesel sih tapi yaudah. Setelah itu pesenan kita ga dateng-dateng lamaaaaaaaa banget, dari laper sampe ga mood makan. Pas dimakan, oh my God nasinya keras banget. Bener-bener keras. Dan end up ga bisa dimakan nasinya. Ini nasi sisa kemarin apa gimana ya? Hehe. Sorry banget tapi ini benar-benar mengecewakan. Rasa makanannya juga amburadul. Tahu tempenya ga enak, soto ayam temen saya jg ga enak, tapi ayam bakar bumbu rujaknya yah lumayan lah. Intinya super bad experience here, pelayanannya sangat sangat mengecewakan. Se-parah-itu. :)",NEGATIVE,UNKNOWN,UNKNOWN,NEGATIVE
